,iso_o,iso_d,Distw,Comlang,Contig,GDP_d,GDP_o,POP_o,Pop_d,XPTOT_o,emotenss f
11095,CUB,TON,11385.6484,0,0,845702336.0,112000000000.0,4008.899902,11185.20139,2538063360.0,16500000.0
11096,CUB,TTO,2336.767458,0,0,466268096.0,26116506656.0,1286.130981,2611.650666,3200480000.0,14500000.0
11097,CUB,TUN,8603.567399,0,0,623584576.0,87079506682.0,6433.798828,8707.950668000001,3613562880.0,16000000.0
11098,CUB,TUR,10174.118059999999,0,0,196167952.0,103000000000.0,7250.5,10317.33536,4511820800.0,15900000.0
11099,CUB,TWN,14413.146030000002,0,0,525000224.0,141000000000.0,82611.52344,14066.237809999999,5516816384.0,16600000.0
11101,CUB,UGA,12262.0932,0,0,6058931200.0,125000000000.0,546815.0,12532.06399,7121820160.0,15800000.0
11107,CUB,VCT,2192.65645,0,0,84908072.0,24912633883.0,866.9819946,2491.263388,13582182.0,14200000.0
11108,CUB,VEN,1860.8204739999999,1,0,1160283904.0,21605869482.0,6090.833008,2160.586948,17047390.0,13900000.0
11109,CUB,VNM,15931.567030000002,0,0,1266694016.0,150000000000.0,13595.83984,15024.0547,9299477.0,17200000.0
11116,CUB,YUG,9112.509132,0,0,91785752.0,91645370015.0,892.5020142000001,9164.537002,1795382.625,16100000.0
11117,CUB,ZAF,12711.91396,0,0,33117872128.0,131000000000.0,179570.8438,13063.423,757238.625,15700000.0
11119,CUB,ZWE,12787.58047,0,0,156428640.0,131000000000.0,9471.139648,13112.59365,7300359.5,15800000.0
11309,CXR,AUS,5303.951172,1,0,686428864.0,53051308536.0,9504.0,5305.130854,80210173952.0,16200000.0
11311,CXR,BHS,18369.98438,1,0,11634849792.0,184000000000.0,69145.95313,18355.920869999998,114000000000.0,16200000.0
11312,CXR,BLZ,18293.10547,1,0,215648576.0,183000000000.0,2252.965088,18325.50154,106000000000.0,16100000.0
11313,CXR,BMU,17410.71094,1,0,7484019200.0,174000000000.0,56602.55859,17393.46992,109000000000.0,16200000.0
11316,CXR,DZA,11837.80566,0,0,88224928.0,118000000000.0,1517.4530029999999,11804.186759999999,161000000000.0,16200000.0
11317,CXR,ESP,12408.87305,0,0,15880000512.0,124000000000.0,50430.0,12394.63837,186000000000.0,16200000.0
11319,CXR,FRA,11866.10449,0,0,1292658816.0,119000000000.0,4334.0,11851.366109999999,233000000000.0,16200000.0
11320,CXR,GBR,12020.60938,1,0,98571472.0,120000000000.0,940.0800171,12004.3432,233000000000.0,16200000.0
11324,CXR,GUY,18214.72461,1,0,158750000.0,182000000000.0,3080.906982,18194.306959999998,365000000000.0,16200000.0
11325,CXR,KEN,7680.168945,1,0,1127072896.0,76706027811.0,3327.728027,7670.6027810000005,359000000000.0,16200000.0
11327,CXR,MWI,7803.552245999999,1,0,42600060.0,77953673372.0,516.5560303,7795.367337000001,67172216.0,16200000.0
11333,CXR,TCA,18758.80469,1,0,113617912.0,187000000000.0,9182.536133,18741.6576,229209296.0,16200000.0
11336,CXR,USA,16657.66406,1,0,179035792.0,172000000000.0,2491.345947,17224.92483,458996640.0,15600000.0
11337,CXR,VCT,18579.05859,1,0,423809696.0,186000000000.0,3548.7529299999997,18557.66941,438960928.0,16200000.0
11339,CYM,AFG,13208.92917,0,0,246071536.0,133000000000.0,3166.0,13267.476540000001,491482368.0,16100000.0
11341,CYM,ALB,9510.592831,0,0,992857600.0,94936308749.0,7733.25,9493.630875,527875232.0,16200000.0
11343,CYM,AND,8011.657265000001,0,0,452585888.0,80045318190.0,7274.899901999999,8004.531819,521739520.0,16200000.0
11345,CYM,ARG,6251.536770000001,0,0,167500080.0,64697201537.0,1555.875977,6469.720154,559174976.0,15600000.0
11348,CYM,AUS,15126.12894,1,0,371400544.0,146000000000.0,20093.49023,14601.87938,847641024.0,16800000.0
11352,CYM,BEN,9073.040513,0,0,728919616.0,91288016458.0,8526.049805,9128.801646,4416538112.0,16100000.0
11353,CYM,BFA,8453.848795,0,0,33210728.0,85080634303.0,607.9140014999999,8508.06343,3907397376.0,16100000.0
11358,CYM,BMU,2207.071656,1,0,3083972608.0,21967154262.0,17876.95508,2196.715426,8778877952.0,16300000.0
11359,CYM,BOL,4430.698562,0,0,1396080128.0,42360053026.0,12350.77148,4236.005303,8410191872.0,16900000.0
11360,CYM,BRA,5796.001339,0,0,456679520.0,60752836899.0,8025.700195,6075.28369,6216030208.0,15400000.0
11361,CYM,BRB,2424.2346,1,0,7350010368.0,24224480649.0,372000.0,2422.448065,7608212480.0,16200000.0
11363,CYM,BWA,12584.34361,1,0,6623574528.0,126000000000.0,47666.0,12580.449359999999,8611681280.0,16200000.0
