,iso_o,iso_d,Distw,Comlang,Contig,GDP_d,GDP_o,POP_o,Pop_d,Remotenss,Trade Flow
9146,CIV,CZSK,,0,0,4615000064,52683487073,45866,5268.348707,0,23071438
9147,CIV,DEU,5222.712313,0,0,484834816,54855745094,33568,5485.574509,15400000,24821440
9148,CIV,DJI,5286.420817,1,0,,52323226574,2397,5232.322657,16300000,24678582
9149,CIV,DMA,6270.552572,0,0,227098560,63541633249,8649,6354.163325,16000000,24553582
9150,CIV,DNK,5716.553248,0,0,520307072,57909962888,8076,5790.996289,16000000,24835726
9151,CIV,DOM,7215.207375,0,0,,72829537801,500,7282.95378,16000000,28571442
9152,CIV,DZA,3439.05995,1,0,,35741886476,405,3574.188648,15600000,29642870
9153,CIV,ECU,8347.47772,0,0,,82922861684,3713.780762,8292.286168,16300000,38343588
9154,CIV,EDEU,,0,0,,54855745094,821,5485.574509,0,55808956
9155,CIV,EGY,4600.830151,0,0,194717952,46044003835,16303.80371,4604.400383,16200000,68806816
9156,CIV,ERI,4912.222356,0,0,154478656,48203442774,13900,4820.344277,16500000,71567480
9157,CIV,ESP,3795.84995,0,0,516980512,38993638060,7884,3899.363806,15700000,99445504
9158,CIV,EST,6442.416234,0,0,1174255488,64962366815,10488,6496.236682,16000000,95045080
9159,CIV,ETH,4816.588311,0,0,,47343086181,5611.297852,4734.308618,16500000,89620072
9160,CIV,FIN,6606.107099,0,0,,65705608212,3970.013916,6570.560821,16300000,93431704
9161,CIV,FJI,18678.67305,0,0,,1.86E+11,445.9815674,18565.41686,16300000,98873904
9162,CIV,FLK,8162.482355,0,0,240891584,81223575315,2807,8122.357531,16300000,125572992
9163,CIV,FRA,4587.868596,1,0,3591673344,48788877792,65084,4878.887779,15200000,140843792
9164,CIV,FRO,6233.279871,0,0,,63082505032,1256,6308.250503,16000000,143813232
9165,CIV,GAB,1771.512098,1,0,,15940367358,982,1594.036736,18000000,256699136
9166,CIV,GBR,5185.880139,0,0,274167136,51488511984,9572.683594,5148.851198,16300000,349658080
9167,CIV,GBRIND,,0,0,152399008,88729759119,,8872.975912,0,371357952
9168,CIV,GBRSOM,,0,0,,54272948988,2422,5427.294899,0,411041120
9169,CIV,GEO,6219.201424,0,0,,62892198652,14928,6289.219865,16000000,411160128
9170,CIV,GHA,486.3087887,0,1,,24371421186,1616.262939,2437.142119,3230000,447832256
9171,CIV,GIB,3348.982221,0,0,,34298830938,7055.608887,3429.883094,15800000,471011712
9172,CIV,GIN,993.4905433,1,1,,11618455423,6842.061035,1161.845542,13800000,536743104
9173,CIV,GLP,6296.560518,1,0,376647776,63960987128,61804.51172,6396.098713,15900000,629461184
9174,CIV,GMB,1524.034521,0,0,,16458261133,880,1645.826113,15000000,663391808
9175,CIV,GNB,1358.191926,0,0,1993381376,14607592148,174212,1460.759215,15000000,677261696
9176,CIV,GNQ,1614.364798,0,0,,14301775337,4413,1430.177534,18300000,642102464
9177,CIV,GRC,4582.317099,0,0,1410368768,45881429769,64203,4588.142977,16200000,577852288
9178,CIV,GRD,6293.504969,0,0,,63775655226,2216.71167,6377.565523,16000000,643925056
9179,CIV,GRL,7581.786281,0,0,34763300,75565306135,1552,7556.530614,16200000,587157696
